#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 13 08 00 250  3.0  5.0    MM    MM    MM  MM 1025.6   8.8  11.0    MM   MM +1.0    MM
2024 03 13 07 50 240  3.0  6.0   4.5    14   9.5 291 1025.8   8.8  11.0    MM   MM   MM    MM
2024 03 13 07 40 230  3.0  5.0    MM    MM    MM  MM 1025.7   8.7  11.0    MM   MM   MM    MM
2024 03 13 07 30 230  4.0  6.0    MM    MM    MM  MM 1025.7   8.7  11.0    MM   MM   MM    MM
2024 03 13 07 20 220  4.0  6.0   4.4    14   9.3 295 1025.5   8.7  11.0    MM   MM   MM    MM
2024 03 13 07 10 220  4.0  6.0    MM    MM    MM  MM 1025.6   8.5  11.0    MM   MM   MM    MM
2024 03 13 07 00 220  4.0  6.0    MM    MM    MM  MM 1025.3   8.6  11.0    MM   MM +1.4    MM
2024 03 13 06 50 240  5.0  7.0   4.3    15   9.1 303 1025.4   8.6  11.0    MM   MM   MM    MM
2024 03 13 06 40 250  5.0  7.0    MM    MM    MM  MM 1025.2   8.7  11.0    MM   MM   MM    MM
2024 03 13 06 30 270  5.0  8.0    MM    MM    MM  MM 1025.2   8.8  11.0    MM   MM   MM    MM
2024 03 13 06 20 280  5.0  8.0   4.9    16   9.9 285 1025.3   8.6  11.0    MM   MM   MM    MM
2024 03 13 06 10 300  6.0  9.0   4.9    MM   9.9 285 1025.3   8.4  11.0    MM   MM   MM    MM
2024 03 13 06 00 300  7.0 10.0    MM    MM    MM  MM 1025.1   8.4  11.0    MM   MM +1.5    MM
2024 03 13 05 50 310  8.0 11.0   5.0    15  10.1 300 1025.0   8.6  11.0    MM   MM   MM    MM
2024 03 13 05 40 270  5.0 11.0    MM    MM    MM  MM 1025.3   8.7  11.0    MM   MM   MM    MM
2024 03 13 05 30 270  6.0 10.0    MM    MM    MM  MM 1024.9   9.0  11.0    MM   MM   MM    MM
2024 03 13 05 20 290  3.0  7.0   4.5    15   9.5 293 1024.6   8.7  11.0    MM   MM   MM    MM
2024 03 13 05 10 350  2.0  4.0   4.5    MM   9.5 293 1024.5   8.5  11.0    MM   MM   MM    MM
2024 03 13 05 00 330  3.0  6.0    MM    MM    MM  MM 1024.6   8.4  11.0    MM   MM +2.2    MM
2024 03 13 04 50 250  3.0  7.0   5.1    15   9.9 289 1024.6   8.7  11.0    MM   MM   MM    MM
